District,GP,LIB,NDP,PC,SK,WIP,IND
Arm River,Dale Dewar,Russ Collicott,Denise Leduc,Raymond Carrick,Greg Brkich,,
Athabasca,Max CD Morin,Michael Wolverine,Buckley Belanger,,Philip Elliott,,
Batoche,B Garneau I,Graham Tweten,Clay DeBray,,Delbert Kirsch,,
Biggar-Sask Valley,Ryan Lamarche,Faiza Kanwal,Dan Richert,,Randy Weekes,,
Cannington,Tierra Lemieux,Patrick Dennie,Nathaniel (J.D.) Cole,Kurt Schmidt,Dan D'Autremont,,
Canora-Pelly,Rachel Gregoire,Kyle Budz,Theresa Wilson,Merv Malischewski,Terry Dennis,David Sawkiw,
Carrot River Valley,Koreena Lynn Fibke,Karalasingham Sadadcharam,Sandy Ewen,,Fred Bradshaw,,
Cumberland,Mick Taylor-Lessard,George Morin,Doyle Vermette,,Thomas Sierzycki,,
Cut Knife-Turtleford,Tammy Fairley Saunders,Rod Gopher,Danica Lorer,Rick Cline,Larry Doke,,
Cypress Hills,Marie Crowe,Charles Tait,Barb Genert,John Goohsen,Douglas Steele,,
Estevan,Branden Schick,Oskar Karkabatov,Tina Vuckovic,Paul Carroll,Lori Carr,,Cam Robock
Humboldt-Watrous,Lori Harper,Robert Tutka,Adam Duke,,Donna Harpauer,,
Indian Head-Milestone,Andrea Huang,David Delainey,Ashley Nemeth,Sheila Olson,Don McMorris,,
Kelvington-Wadena,Owen Swiderski,Bernie Yuzdepski,Danny Hiscock,Tim Atchison,Hugh Nerlien,Walter Hrappsted,
Kindersley,,Darren Donald,Charles Jedlicka,Terry Smith,Bill Boyd,,Jason Dearborn
Last Mountain-Touchwood,Justin Stranack,David Buchocik,Mary Ann Harrison,Rick Swenson,Glen Hart,Frank Serfas,
Lloydminster,Lisa Grant,Dolores Pahtayken,Michelle Oleksyn,,Colleen Young,,
Lumsden-Morse,Patricia Crowther,Gerald Hiebert,Rhonda Phillips,,Lyle Stewart,,
Martensville-Warman,Darcy Robilliard,Michael McAteer,Jasmine J. Calix,,Nancy Heppner,Pamela Spencer,
Meadow Lake,Eric Schalm,Eric McCrimmon,Dwayne Lasas,,Jeremy Harrison,,
Melfort,Tanner Wallace,Bruce Ber,Linsey Thornton,,Kevin K. Phillips,,
Melville-Saltcoats,,Igor Riabchyk,Leonard Dales,Diana Lowe,Warren Kaeding,,Trever Ratti
Moose Jaw North,Caleb Maclowich,Brenda Colenutt,Corey Atkinson,,Warren Michelson,,
Moose Jaw Wakamow,Shaun Francis Drake,Terry Gabel,Karen Purdy,,Greg Lawrence,,
Moosomin,Kate Ecklund,Janice Palmer,Ashlee Hicks,Lloyd Hauser,Steven Bonk,,Trevor Bearance
Prince Albert Carlton,Asia Yellowtail,Winston McKay,Shayne Lazarowich,,Joe Hargrave,,
Prince Albert Northcote,Trace Yellowtail,Jonathan Fraser,Nicole Rancourt,,Victoria Jurgens,,
Regina Coronation Park,Melvin Pylypchuk,Tara Jijian,Ted Jaleta,,Mark Docherty,,Douglas Hudgin
Regina Douglas Park,Victor Lau,Curt Schroeder,Nicole Sarauer,,CJ Katz,,
Regina Elphinstone-Centre,Dianna Holigroski,Patrick Denis,Warren McCall,,Bill Stevenson,,
Regina Gardiner Park,Liam Becker Lau,Jesse Albanez,Faycal Haggui,,Gene Makowsky,,
Regina Lakeview,Larry Neufeld,Stewart Kerr,Carla Beck,,Dan Cooper,,
Regina Northeast,Marlene Macfarlane,Hafeez Chaudhuri,Kathleen O'Reilly,,Kevin Doherty,,
Regina Pasqua,Mike Wright,Darrin Lamoureux,Heather McIntyre,Desmond Bilsky,Muhammad Fiaz,,
Regina Rochdale,Billy Patterson,Nadeem Islam,Brett Estey,,Laura Ross,,
Regina Rosemont,Sara Piotrofsky,Reid A. L. Hill,Trent Wotherspoon,,Kevin Dureau,,
Regina University,Yordanos Tesfamariam,Silvia Volodko,Aleana Young,,Tina Beaudry-Mellor,,
Regina Walsh Acres,Leonie Williams,Reina Sinclair,Gloria Patrick,,Warren Steinley,,
