District,GP,LIB,NDP,PC,SK,WIP,IND
Arm River,241,207,1457,338,6187,0,0
Athabasca,53,262,1756,0,644,0,0
Batoche,103,216,2114,0,4471,0,0
Biggar-Sask Valley,162,194,1453,0,5972,0,0
Cannington,133,133,674,245,6444,0,0
Canora-Pelly,102,192,1323,414,4318,51,0
Carrot River Valley,115,131,1369,0,5104,0,0
Cumberland,79,352,3375,0,1610,0,0
Cut Knife-Turtleford,90,255,958,154,5765,0,0
Cypress Hills,133,99,875,382,5774,0,0
Estevan,89,118,635,618,5454,0,91
Humboldt-Watrous,187,212,1588,0,5818,0,0
Indian Head-Milestone,143,264,1848,225,5118,0,0
Kelvington-Wadena,108,132,1354,390,5133,218,0
Kindersley,0,171,522,323,4802,0,1249
Last Mountain-Touchwood,104,212,1572,689,4274,23,0
Lloydminster,65,202,432,0,4350,0,0
Lumsden-Morse,179,242,1655,0,6256,0,0
Martensville-Warman,91,179,1477,0,6854,26,0
Meadow Lake,107,305,1430,0,4395,0,0
Melfort,102,150,1406,0,5579,0,0
Melville-Saltcoats,0,138,1595,192,5311,0,65
Moose Jaw North,142,194,2517,0,4425,0,0
Moose Jaw Wakamow,106,182,2819,0,3514,0,0
Moosomin,244,191,1032,284,5142,0,218
Prince Albert Carlton,60,199,2670,0,3553,0,0
Prince Albert Northcote,88,272,2752,0,2491,0,0
Regina Coronation Park,103,245,2861,0,3008,0,70
Regina Douglas Park,401,332,3242,0,2531,0,0
Regina Elphinstone-Centre,178,297,2648,0,1351,0,0
Regina Gardiner Park,138,294,2459,0,4259,0,0
Regina Lakeview,251,391,4358,0,2715,0,0
Regina Northeast,155,186,2912,0,3920,0,0
Regina Pasqua,186,962,3631,174,3929,0,0
Regina Rochdale,155,293,3554,0,5769,0,0
Regina Rosemont,146,162,3994,0,3101,0,0
Regina University,165,401,3001,0,3418,0,0
Regina Walsh Acres,106,312,2976,0,3575,0,0
Regina Wascana Plains,153,287,2525,245,6107,0,0
Rosetown-Elrose,182,146,1380,0,5939,0,0
Rosthern-Shellbrook,119,468,1288,0,4724,0,0
Saskatchewan Rivers,0,244,2010,0,4584,0,0
Saskatoon Centre,129,203,3005,0,1928,0,0
Saskatoon Churchill-Wildwood,128,414,3044,0,3978,0,0
Saskatoon Eastview,170,272,3198,0,4169,0,0
Saskatoon Fairview,89,308,2769,0,2951,0,0
Saskatoon Meewasin,148,307,2977,0,3500,0,0
Saskatoon Northwest,121,254,2004,0,4514,0,0
Saskatoon Nutana,190,275,3822,0,2474,0,0
Saskatoon Riversdale,107,354,2691,0,2432,0,0
Saskatoon Silverspring-Sutherland,127,303,2003,122,4482,0,0
Saskatoon Southeast,104,225,2169,0,5247,0,0
Saskatoon Stonebridge-Dakota,149,377,2300,0,6584,0,0
Saskatoon University,129,370,2732,101,3080,0,0
Saskatoon Westview,124,240,3675,0,3892,0,0
Saskatoon Willowgrove,129,229,2196,0,6603,0,0
Swift Current,103,78,1112,0,6071,0,0
The Battlefords,83,438,2260,0,4296,0,0
Weyburn-Big Muddy,155,122,1260,131,6177,0,0
Wood River,200,191,991,544,6125,0,0
Yorkton,118,184,1432,0,4585,0,0
